,route_short_name,stop_id
0,12,4135
1,12,4136
2,12,4137
3,12,4138
4,12,4139
5,12,4140
6,12,4134
7,12,4133
8,12,4132
9,12,4131
10,12,4130
11,12,4129
12,12,4128
13,12,4127
14,12,4126
15,12,4084
16,12,4039
17,12,4124
18,12,4125
19,12,18185
20,12,18186
21,12,17906
22,12,17908
23,12,17910
24,12,17911
25,12,22152
26,12,17914
27,12,17915
28,12,18006
29,12,18051
30,12,19374
31,12,22100
32,12,19377
33,12,19379
34,12,19381
35,12,19382
36,12,19383
37,12,19384
38,12,19385
39,12,19386
200,12,19737
201,12,19736
202,12,19735
203,12,21966
204,12,19733
205,12,19732
206,12,19731
207,12,19729
208,12,19728
209,12,19726
210,12,17895
211,12,17896
212,12,17897
213,12,17898
214,12,22153
215,12,17901
216,12,17902
217,12,17903
218,12,17905
219,12,18196
220,12,18197
221,12,4324
222,12,4323
223,12,4331
224,12,4332
225,12,4333
226,12,4334
227,12,4384
228,12,4440
229,12,4441
230,12,4442
231,12,4443
232,12,4444
233,12,4449
234,12,4448
235,12,4447
236,12,4446
237,12,4445
1402,12,19369
1403,12,18184
8210,12,19304
8211,12,19721
30225,16,20595
30226,16,20593
30227,16,20591
30228,16,20589
30229,16,20573
30230,16,20571
30231,16,20568
30232,16,20567
30233,16,20565
30234,16,20563
30235,16,20561
30236,16,20559
30237,16,20557
30238,16,20555
30239,16,20553
30240,16,20551
30241,16,20549
30242,16,20547
30243,16,20545
30244,16,20543
30245,16,20541
30246,16,20539
30247,16,20537
30248,16,20535
30249,16,20533
30250,16,20531
30251,16,20529
30252,16,20527
30253,16,20525
30254,16,20523
30255,16,19018
30256,16,19017
30257,16,19016
30258,16,18468
30259,16,21060
30260,16,21059
30261,16,21058
30262,16,21057
30263,16,21042
30264,16,20648
30265,16,20647
30266,16,20599
30267,16,20598
30268,16,20597
30269,16,19115
30270,16,19118
30271,16,19119
30272,16,19135
30273,16,19136
30274,16,20518
30275,16,20514
30276,16,20512
30277,16,20511
30278,16,20509
30279,16,22112
30280,16,22110
30281,16,19568
30282,16,19569
30283,16,19571
30284,16,19572
30285,16,19573
30286,16,19574
30287,16,19575
30288,16,19676
30289,16,19678
30290,16,19679
30291,16,19681
30292,16,19684
30293,16,19685
30294,16,19686
30295,16,19687
30296,16,19689
30297,16,19691
30298,16,19693
30299,16,19694
30300,16,19696
30377,16,19489
30378,16,19491
30379,16,19492
30380,16,19494
30381,16,19495
30382,16,19497
30383,16,19498
30384,16,19499
30385,16,19500
30386,16,19502
30387,16,19504
30388,16,19505
30389,16,19528
30390,16,19539
30391,16,19560
30392,16,19561
30393,16,19562
30394,16,19563
30395,16,19565
30396,16,19566
30397,16,22109
30398,16,22111
30399,16,20508
30400,16,20510
30401,16,20513
30402,16,20515
30403,16,20519
30404,16,18625
30405,16,18624
30406,16,18623
30407,16,18620
30408,16,18619
30409,16,18632
30410,16,18633
30411,16,18634
30412,16,18635
30413,16,18636
30414,16,18637
30415,16,18638
30416,16,18639
30417,16,18640
30418,16,18641
30419,16,18645
30420,16,18430
30421,16,18431
30422,16,18432
30423,16,20524
30424,16,20526
30425,16,20528
30426,16,20530
30427,16,20532
30428,16,20534
30429,16,20536
30430,16,20538
30431,16,20540
30432,16,20542
30433,16,20544
30434,16,20546
30435,16,20548
30436,16,20550
30437,16,20552
30438,16,20554
30439,16,20556
30440,16,20558
30441,16,20560
30442,16,20562
30443,16,20564
30444,16,20566
30445,16,20569
30446,16,20570
30447,16,20572
30448,16,20584
30449,16,20590
30450,16,20592
30451,16,20594
82284,19,17850
82285,19,17851
82286,19,17852
82287,19,17854
82288,19,17856
82289,19,17866
82290,19,17867
82291,19,16736
82292,19,16735
82293,19,16734
82294,19,16733
82295,19,16732
82296,19,16731
82297,19,16730
82298,19,16728
82299,19,16727
82300,19,16726
82301,19,16725
82302,19,16724
82303,19,16723
82304,19,16722
82305,19,16721
82306,19,16720
82307,19,16719
82308,19,21961
82309,19,16717
82310,19,16716
82311,19,16715
82312,19,16714
82313,19,16713
82314,19,2113
82315,19,1784
82316,19,1292
82317,19,378
82318,19,17306
82320,19,17307
82321,19,17308
82322,19,17309
82323,19,17310
82324,19,17311
82325,19,17312
82326,19,17313
82327,19,17314
82328,19,17315
82329,19,17316
82330,19,17317
82331,19,17318
82332,19,17319
82333,19,17320
82334,19,17321
82335,19,17322
82336,19,17323
82337,19,17324
82338,19,17325
82339,19,21962
82340,19,17327
82341,19,17329
82342,19,17330
82343,19,17331
82344,19,17332
82345,19,17333
82346,19,17334
82347,19,17335
82348,19,17868
82349,19,17869
82350,19,17871
82351,19,17873
82352,19,17875
82353,19,17876
82354,19,17877
158230,48,18566
158231,48,18567
158232,48,18568
158233,48,18569
158234,48,18570
158235,48,18571
158236,48,20895
158237,48,18574
158238,48,18575
158239,48,18576
158240,48,18577
158241,48,18578
158242,48,18579
158243,48,18580
158244,48,18581
158245,48,18582
158246,48,18583
158247,48,18584
158248,48,19745
158249,48,19744
158250,48,19742
158251,48,18588
158252,48,18589
158253,48,22561
158254,48,19714
158255,48,19715
158256,48,19716
158257,48,19717
158258,48,19718
158259,48,19719
158260,48,19734
158261,48,18099
158262,48,18100
158263,48,18102
158264,48,18103
158265,48,18104
158266,48,17898
158267,48,22153
158268,48,17901
158269,48,17902
158270,48,17903
158271,48,17905
158272,48,43472
158273,48,43473
158274,48,43480
158275,48,43474
158276,48,47493
159078,48,43475
159079,48,43476
159080,48,43477
159081,48,17906
159082,48,17908
159083,48,17910
159084,48,17911
159085,48,22152
159086,48,17914
159087,48,18093
159088,48,18094
159089,48,18095
159090,48,18097
159091,48,18098
159092,48,19706
159093,48,19708
159094,48,19709
159095,48,19710
159096,48,19711
159097,48,19712
159098,48,19713
159099,48,22560
159100,48,18341
159101,48,18342
159102,48,18343
159103,48,19393
159104,48,19394
159105,48,19395
159106,48,18347
159107,48,18348
159108,48,18349
159109,48,18350
159110,48,18351
159111,48,18352
159112,48,18353
159113,48,18354
159114,48,18355
159115,48,18356
159116,48,18357
159117,48,18359
159118,48,18360
159119,48,18361
159120,48,18362
159121,48,18363
223936,57,17944
223937,57,22320
223938,57,17917
223939,57,15559
223940,57,13995
223941,57,4945
223942,57,1083
223943,57,992
223944,57,17935
223945,57,17936
223946,57,17937
223947,57,17938
223948,57,17945
223949,57,17946
223950,57,17948
223951,57,17949
223952,57,17950
223953,57,17951
223954,57,17952
223955,57,17953
223956,57,17954
223957,57,17955
223958,57,17956
223959,57,17957
223960,57,17958
223961,57,17959
223962,57,17961
223963,57,18058
223964,57,18059
223965,57,18060
223966,57,18061
223967,57,19250
223968,57,19251
223969,57,17861
223970,57,17862
223971,57,17863
223972,57,17864
223973,57,17871
223974,57,17873
223975,57,17875
223976,57,17876
223977,57,17877
224329,57,17850
224330,57,17851
224331,57,17852
224332,57,17854
224333,57,17856
224334,57,17857
224335,57,17858
224336,57,17859
224337,57,17860
224338,57,19590
224339,57,19589
224340,57,18541
224341,57,18540
224342,57,18539
224343,57,18538
224344,57,18536
224345,57,19595
224346,57,18533
224347,57,18532
224348,57,18531
224349,57,18530
224350,57,18529
224351,57,18528
224352,57,18527
224353,57,18526
224354,57,18525
224355,57,18524
224356,57,18522
224357,57,18521
224358,57,18520
224359,57,18519
224360,57,18516
224361,57,18517
224362,57,18518
224363,57,18485
224364,57,18486
224365,57,18487
224366,57,18488
224367,57,18489
224368,57,18490
224369,57,18491
294298,109,19725
294299,109,19372
294300,109,19371
294301,109,19370
294302,109,19369
294303,109,18184
294304,109,18185
294305,109,18186
294306,109,17906
294307,109,17908
294308,109,17910
294309,109,17911
294310,109,22152
294311,109,17914
294312,109,17915
294313,109,18006
294314,109,18051
294315,109,19374
294316,109,22100
294317,109,19377
294318,109,19379
294319,109,19381
294320,109,19382
294321,109,19383
294322,109,19384
294323,109,19385
294324,109,19386
294325,109,19387
294326,109,19389
294327,109,19391
294328,109,19393
294329,109,19394
294330,109,19395
294331,109,19396
294332,109,19397
294333,109,19398
294334,109,19399
294335,109,19400
294336,109,19401
294337,109,19402
294338,109,19403
294339,109,19404
294340,109,19405
294341,109,19406
294342,109,19407
294343,109,19408
294344,109,19409
294345,109,19410
294346,109,19411
294347,109,19412
294348,109,19413
294349,109,19414
294350,109,19416
294351,109,19417
294352,109,19418
294353,109,19419
294354,109,19781
295211,109,19782
295212,109,19783
295213,109,19784
295214,109,19785
295215,109,19786
295216,109,18738
295217,109,18479
295218,109,18737
295219,109,18736
295220,109,18735
295221,109,18734
295222,109,18733
295223,109,18732
295224,109,18710
295225,109,19778
295226,109,19753
295227,109,19752
295228,109,19751
295229,109,19750
295230,109,19749
295231,109,19748
295232,109,19747
295233,109,19746
295234,109,19745
295235,109,19744
295236,109,19742
295237,109,19740
295238,109,19738
295239,109,19737
295240,109,19736
295241,109,19735
295242,109,21966
295243,109,19733
295244,109,19732
295245,109,19731
295246,109,19729
295247,109,19728
295248,109,19726
295249,109,17895
295250,109,17896
295251,109,17897
295252,109,17898
295253,109,22153
295254,109,17901
295255,109,17902
295256,109,17903
295257,109,17905
295258,109,18196
295259,109,18197
295260,109,19304
295261,109,19721
295262,109,19722
295263,109,19723
295264,109,19724
386240,59,19482
386241,59,19481
386242,59,19480
386243,59,19479
386244,59,19478
386245,59,19477
386246,59,19475
386247,59,22305
386248,59,21196
386249,59,19473
386250,59,19472
386251,59,19471
386252,59,19470
386253,59,19469
386254,59,19468
386255,59,19467
386256,59,19376
386257,59,19277
386258,59,19276
386259,59,19275
386260,59,19274
386261,59,20775
386262,59,19272
386263,59,19271
386264,59,19270
386265,59,19269
386266,59,19268
386267,59,19267
386268,59,19266
386269,59,19265
386270,59,19264
386271,59,19263
386272,59,19262
386273,59,19261
386274,59,19260
386275,59,19259
386276,59,17959
386277,59,19256
386278,59,20482
386279,59,19253
386280,59,17869
386281,59,17871
386282,59,17873
386283,59,17875
386284,59,17876
386285,59,17877
386286,59,17850
386287,59,17851
386288,59,17852
386289,59,17854
386290,59,17856
386291,59,17866
386292,59,19591
386293,59,19699
386294,59,19594
386295,59,19595
386296,59,19597
386297,59,19598
386298,59,19599
386299,59,19600
386300,59,19601
386301,59,19602
386302,59,19603
386303,59,19604
386304,59,19605
386305,59,19606
386306,59,19608
386307,59,19609
386308,59,19623
386309,59,19624
386310,59,19625
386311,59,19626
386312,59,19627
386313,59,19628
