,route_id,stop_id
826,2-WMN,19854
827,2-WMN,22180
828,2-WMN,19973
829,2-WMN,20026
830,2-WMN,20025
831,2-WMN,19997
832,2-WMN,19996
833,2-WMN,19995
1420,2-LIL,19907
5441,2-MER,22180
5442,2-MER,19841
5443,2-MER,19842
5444,2-MER,19843
5445,2-PKM,19843
5446,2-PKM,19842
5447,2-PKM,19841
5448,2-PKM,22180
9051,2-BEL,19907
9924,2-CRB,19843
9925,2-CRB,19842
9926,2-CRB,19841
9927,2-CRB,22180
9928,2-CRB,19854
9929,2-CRB,19908
9930,2-CRB,19959
9931,2-CRB,19943
9932,2-CRB,19920
9933,2-CRB,19919
9934,2-CRB,19918
9935,2-CRB,19917
9936,2-CRB,19916
9937,2-CRB,19915
9938,2-CRB,19914
9939,2-CRB,19913
9940,2-CRB,19891
9941,2-CRB,19890
9942,2-CRB,19889
14468,2-CRB,19944
38130,2-ALM,19854
38131,2-ALM,19908
38132,2-ALM,19907
38133,2-ALM,19906
38134,2-ALM,19905
38135,2-ALM,19904
38136,2-ALM,19903
38228,2-ALM,19843
38229,2-ALM,19842
38230,2-ALM,19841
38231,2-ALM,22180
50079,2-SYM,19841
50080,2-SYM,19842
50081,2-SYM,19843
59332,2-B31,19841
59333,2-B31,19842
59334,2-B31,19843
59515,2-UFD,19841
59516,2-UFD,19842
59517,2-UFD,19843
101254,2-ain,22180
252388,2-ain,20028
388837,2-SDM,22180
538362,2-ain,20027
